NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;TX_ACERTOS_CN;TX_ACERTOS_CH;TX_ACERTOS_LC;TX_ACERTOS_MT
210060366194;2023;3;F;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;1223;1194;1203;1213;404.9;454.9;414.4;367.9;AABCEAADEDEBDAEBEEABBECDCCAADCCBADEECBDCBDADB;ABEDCEABEAECAEBCADECEADCDABAEDABEDCEBADCAEBDC;DBBADCACECCECEABDBECBDADABACEACDEAEBCACDBEEBC;CEEAEAEDACDCEDBECEAEDBBBEDBDEBDDECAABACADAEEB;1;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;1;100;80;60;100;0;340;C;E;C;B;8;B;A;B;C;A;A;B;A;B;A;A;A;A;A;A;A;B;A;A;B;000010001000010000111000000010000010000010100;110110000000100000000000010000110110111100010;001000100000000100010010000001100000010000100;000010000000001010000001010000000000000000001
210059080368;2023;2;M;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;1223;1194;1203;1213;445.2;544.3;589.5;501.2;CAEDBCBCCEEBBCADCEDABACBDACDBBCDBEDEADEBBDEBD;ABCCCBDDCDCECCABCEBBDCEEADABBDCABCDABBDCBAEDE;BEBBAAAECBBEAACABBEDDCBBABCCADEDABCEBAEDDBDCC;EDDCCEAADCBAECACDBBBDCBCDACBDEABDCEACDCBADBAC;0;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;1;120;100;80;100;60;460;E;E;A;A;3;B;A;B;C;B;B;B;A;B;A;A;A;A;B;A;A;D;A;A;B;100000000000100010001100011100000000010010011;111011101101010010101010000010000001101101011;101110100000000000000000001000000001010011000;101000011000010100110000100001110010000000000
210060708964;2023;3;F;1;1;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;1;2;1;1301902;Itacoatiara;13;AM;1;1;1;1;1221;1193;1204;1211;524.8;539.9;529.5;617.1;DBDEBDCCDEDCEDBCECACEADDCDDDBEDDDDECDCCDCDDAD;ACCAAAAAACAAADEA.EAABCAAAAACCCAEAAAADEADCCDAE;DBBDCADADACDEAAAEADCAEDCEDADCBECABDBCEAAADAAC;DCACEDDADDDDDDABDDCDADDDDDDDDACAADABECEAAACAA;0;DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED;ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE;DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED;BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC;1;160;200;160;160;160;840;C;E;A;A;4;B;A;B;C;A;A;B;C;B;B;A;A;A;B;A;B;E;A;B;B;110011001001000100000100000000010011010100001;110010110101111100011100100000010100001101111;110001000100001000101000000010100000000000001;010010000001001100011011011010111100001001000
210059787938;2023;2;M;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;1222;1191;1201;1212;401.7;421;504.3;421.5;EECDDCBEBDCBBDBACADEBDACDBECDECBBBDCAEBADBCED;CECACBDEBBBEDDBEBADBCECABAEEDCAEADBBCDEADCAAB;BAEBDDECEDBBCCABECDCDDEEBBEAEACACBAEEACEEEAAE;DBEBDEBAEACDEADDDBECADDBCACDADBDCBDCDCDAEEDEC;0;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;1;140;120;120;120;160;660;D;A;B;B;4;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B;000011000100000000100000000001100100001101010;100000000001000100100010010011011000000000101;100000000000100001100100000010111010011000100;101000000010100000000000010000001010000000010
210059011158;2023;3;M;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;1224;1192;1202;1214;406.6;523.2;521.7;671;BDBACCBECEBCEBDDEABACCEADBBABDCDEEECAEADBEECD;DBBCBEECCDCABDBBDBBDAABADDBAEACCACDEECADEAEDD;BCBCBABEAEDEAACDACBCEABCDEAEDBBDABCDCDBDDDCAB;EABDEDDEBEABAECADCBCEBBCECEBCCBCDDDBAABAABCDA;0;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;1;120;80;120;160;120;600;D;E;C;C;10;B;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;C;A;A;B;010000100010011000000000100000000001001100000;110001001111101010001000000101010110110101001;101001100000000100000100001000000000011000000;100001011110010001001011001111110101000101010
210060403527;2023;3;M;1;1;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;1222;1191;1201;1212;438;441;463.6;450;CEAABDDABBBBEEBDBEBDCCCBCAADCAEDEBDDEEDAABCBA;CDDACDCBADACDADDBBDCDACEBABDCCADDDBCACCEACBEC;BBBABBACEBADCDCAACDEACABDBACCDDAAEBCCEAAEBCAD;BADAAECACBDADBBCCAECDEDDBCABBCCCBDAEDECAADACC;0;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;1;100;60;60;100;20;340;E;F;F;F;4;E;A;B;C;B;A;B;A;B;B;B;A;A;B;A;A;D;A;B;B;101100000000000000000000100000000100000101000;110000011000011001100010011001000000010000000;110110100000100001101000000100010101000100000;000010100000000001001001000111100000010011000
210059959625;2023;3;F;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;C;C;A;A;5;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B;;;;
210059416330;2023;2;F;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;1222;1191;1201;1212;398.1;453.7;519.4;415.8;AECECEBCBDACBCCEBCACBDECDDAACCEDEBCBEACBADCBE;CEBDAEDCAACDEADECAABAAECDBADDEADDCEABDEDEBDEB;CCEBADCEEEDACBBDCDECCCBBDAADEABDDBAECAAEBECAB;CCADEABEADCBDEBACDECCADBADCBBCBCBDECDAABADBEE;1;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;1;140;200;160;160;160;820;C;C;D;D;5;B;A;B;C;B;A;B;A;A;A;A;A;A;B;A;A;D;A;A;B;000000010100000001000010000100000100000000000;100000001110011110001000000010000001100111001;000000010011100110000010000010000010010000001;010000000011010000000100000111000000000011010
210060064832;2023;3;F;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;1222;1191;1201;1212;549.6;571.5;578.8;484.3;EDCEECDACBCDBCCBBEEBCAADCADAAEBEEBEDCBAEADCBB;CDAEECCDAACEDAAECEDAABCCCEBCBCDEBEAADDADDDADA;BAAABDECAEDCAEBADCDCDCCEEDCCACBCABAADADBBEAAE;BDABABDABDBCDBEEBCEDDEBECDCCDAEBCCBDDECCCEBEE;0;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;1;160;120;120;160;140;700;B;C;B;B;5;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B;000001001001000000010001101101000110000000001;111111001111010110111110101001110011000100110;100110000010010001100000111100000010010000100;000010000000000000011000000000011101010000010
210060226979;2023;3;F;1;1;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;D;D;A;B;4;B;A;C;E;B;A;B;A;C;A;A;A;A;B;B;A;E;A;A;B;;;;
