Ranking IDHM 2010;Município;IDHM 2010;IDHM-R;IDHM-L;IDHM-E;CO_MUN
1 º;São Caetano do Sul (SP);0,862;0,891;0,887;0,811;3548807
2 º;Águas de São Pedro (SP);0,854;0,849;0,89;0,825;3500600
3 º;Florianópolis (SC);0,847;0,87;0,873;0,8;4205407
4 º;Balneário Camboriú (SC);0,845;0,854;0,894;0,789;4202008
4 º;Vitória (ES);0,845;0,876;0,855;0,805;3205309
6 º;Santos (SP);0,84;0,861;0,852;0,807;3548500
7 º;Niterói (RJ);0,837;0,887;0,854;0,773;3303302
8 º;Joaçaba (SC);0,827;0,823;0,891;0,771;4209003
9 º;Brasília (DF);0,824;0,863;0,873;0,742;5300108
10 º;Curitiba (PR);0,823;0,85;0,855;0,768;4106902
11 º;Jundiaí (SP);0,822;0,834;0,866;0,768;3525904
12 º;Valinhos (SP);0,819;0,848;0,85;0,763;3556206
13 º;Vinhedo (SP);0,817;0,84;0,878;0,739;3556701
14 º;Santo André (SP);0,815;0,819;0,861;0,769;3547809
14 º;Araraquara (SP);0,815;0,788;0,877;0,782;3503208
16 º;Santana de Parnaíba (SP);0,814;0,876;0,849;0,725;3547304
17 º;Nova Lima (MG);0,813;0,864;0,885;0,704;3144805
18 º;Ilha Solteira (SP);0,812;0,786;0,871;0,782;3520442
19 º;Americana (SP);0,811;0,8;0,876;0,76;3501608
20 º;Belo Horizonte (MG);0,81;0,841;0,856;0,737;3106200
21 º;São José (SC);0,809;0,799;0,88;0,752;4216602
21 º;Joinville (SC);0,809;0,795;0,889;0,749;4209102
23 º;Maringá (PR);0,808;0,806;0,852;0,768;4115200
24 º;São José dos Campos (SP);0,807;0,804;0,855;0,764;3549904
25 º;Blumenau (SC);0,806;0,812;0,894;0,722;4202404
25 º;Presidente Prudente (SP);0,806;0,788;0,858;0,774;3541406
25 º;Rio Fortuna (SC);0,806;0,848;0,85;0,727;4214904
28 º;São Paulo (SP);0,805;0,843;0,855;0,725;3550308
28 º;Assis (SP);0,805;0,771;0,865;0,781;3504008
28 º;Campinas (SP);0,805;0,829;0,86;0,731;3509502
28 º;São Bernardo do Campo (SP);0,805;0,807;0,861;0,752;3548708
28 º;Porto Alegre (RS);0,805;0,867;0,857;0,702;4314902
28 º;São Carlos (SP);0,805;0,788;0,863;0,766;3548906
34 º;Rio Claro (SP);0,803;0,784;0,862;0,766;3543907
34 º;Jaraguá do Sul (SC);0,803;0,793;0,865;0,755;4208906
36 º;Rio do Sul (SC);0,802;0,793;0,894;0,727;4214805
37 º;Bauru (SP);0,801;0,8;0,854;0,752;3506003
37 º;São Miguel do Oeste (SC);0,801;0,787;0,884;0,739;4217204
37 º;Pirassununga (SP);0,801;0,789;0,884;0,736;3539301
40 º;Concórdia (SC);0,8;0,777;0,872;0,756;4204301
40 º;Vila Velha (ES);0,8;0,807;0,864;0,734;3205200
40 º;Taubaté (SP);0,8;0,778;0,883;0,746;3554102
40 º;Ribeirão Preto (SP);0,8;0,82;0,844;0,739;3543402
