CO_MUN;PIB_PER_CAPITA
1100015;32619.88
1100023;28878.27
1100031;47051.83
1100049;32313.26
1100056;46185.81
1100064;27923.92
1100072;56257.46
1100080;16446.15
1100098;23429.38
1100106;22462.79
1100114;34294.21
1100122;32292.16
1100130;21338.33
1100148;26762.31
1100155;27814.02
1100189;44275.07
1100205;36541.49
1100254;30827.94
1100262;47991.2
1100288;28076.24
1100296;35940.09
1100304;40328.81
1100320;39112.42
1100338;23076.28
1100346;25539.82
1100379;36454.01
1100403;22929.34
1100452;23549.74
1100502;28492.53
1100601;43655.88
1100700;25667.21
1100809;23357.78
1100908;34083.75
1100924;39880.28
1100940;17967.64
1101005;33566.66
1101104;19413.13
1101203;31484.85
1101302;24566.5
1101401;24129.89
1101435;23060.8
1101450;24597.92
1101468;115753.94
1101476;39684.71
1101484;26335.31
1101492;23143.16
1101500;28109.66
1101559;29158.81
1101609;24876.86
1101708;24682.0
1101757;19106.79
1101807;28605.27
1200013;25362.56
1200054;17507.67
1200104;25278.78
1200138;28455.38
1200179;41722.55
1200203;22934.82
1200252;33960.77
1200302;16207.64
1200328;13209.92
1200336;13704.87
1200344;19060.27
1200351;13020.98
1200385;29854.1
1200393;12845.86
1200401;26119.02
1200427;12933.1
1200435;15747.15
1200450;33253.93
1200500;15860.21
1200609;16279.09
1200708;22902.48
1200807;24623.3
1300029;13255.22
1300060;9960.76
1300086;9697.69
1300102;11324.94
1300144;13096.89
1300201;8862.72
1300300;12348.26
1300409;8844.22
1300508;10476.91
1300607;8664.03
1300631;10333.67
1300680;9102.4
1300706;14668.9
1300805;9500.35
1300839;13194.94
1300904;9656.23
1301001;12906.32
1301100;10180.17
1301159;13140.09
1301209;38982.37
1301308;17917.73
1301407;15726.02
1301506;10387.83
1301605;13576.3
1301654;10313.51
1301704;15039.21
1301803;6945.94
1301852;20150.9
1301902;22590.61
1301951;17438.6
1302009;16377.7
1302108;48893.98
1302207;8910.85
1302306;19787.31
1302405;13111.01
1302504;15506.76
1302553;9162.03
1302603;45782.75
1302702;11955.04
1302801;9630.41
1302900;9005.98
1303007;9535.02
1303106;8836.21
1303205;9146.03
1303304;9545.89
1303403;12255.21
1303502;10172.38
1303536;27087.68
1303569;11680.8
1303601;6994.54
1303700;11360.72
1303809;8995.21
1303908;8182.07
1303957;9307.06
1304005;18843.97
1304062;11065.89
1304104;14218.05
1304203;18538.27
1304237;9738.96
1304260;16562.54
1304302;12847.86
1304401;9654.77
1400027;17758.73
1400050;25280.78
1400100;30906.19
1400159;41131.03
1400175;18334.7
1400209;20026.4
1400233;22349.01
1400282;16497.32
1400308;21310.03
1400407;17232.37
1400456;16366.22
1400472;23333.09
1400506;38597.28
1400605;21740.96
1400704;13069.3
1500107;12150.04
1500131;13998.91
1500206;25714.69
1500305;11130.94
1500347;23136.75
1500404;12988.38
1500503;20220.01
1500602;26595.8
1500701;8607.88
1500800;16542.68
1500859;20061.15
1500909;7750.19
1500958;9584.87
1501006;9254.57
1501105;7837.69
1501204;11367.06
1501253;39829.41
1501303;71473.92
1501402;22216.33
1501451;13218.69
1501501;30668.86
1501576;14134.87
1501600;12325.25
1501709;10679.0
1501725;25519.93
1501758;15643.39
1501782;11579.35
1501808;8572.43
1501907;18061.39
1501956;6447.28
1502004;10504.21
1502103;9897.38
1502152;894806.28
1502202;20438.0
1502301;11289.26
1502400;22897.75
1502509;10269.71
1502608;8293.17
1502707;13775.85
1502756;12274.67
1502764;28975.18
1502772;206447.92
1502806;7951.38
1502855;10132.44
1502905;8998.53
1502939;15367.96
1502954;16321.07
1503002;11041.86
1503044;29053.27
1503077;10553.72
1503093;12156.01
1503101;9795.38
1503200;10600.35
1503309;10908.41
1503408;14541.47
1503457;9307.92
1503507;8517.6
1503606;30318.38
1503705;15755.46
1503754;90011.45
1503804;10173.91
1503903;24211.68
1504000;16981.77
1504059;11198.48
1504109;11448.24
1504208;47010.21
1504307;9810.78
1504406;9230.71
1504422;18986.11
1504455;31655.85
1504505;7711.49
1504604;14164.3
1504703;16005.52
1504752;17727.77
1504802;13850.64
1504901;8172.04
1504950;16303.8
1504976;11311.77
1505007;9426.75
1505031;37701.86
1505064;14231.91
1505106;18408.13
1505205;12629.63
1505304;30413.04
1505403;11097.32
1505437;38498.1
1505486;17666.57
1505494;13038.79
1505502;36952.54
1505536;227449.71
1505551;21515.23
1505601;8946.94
1505635;22561.23
1505650;10000.39
1505700;8599.05
1505809;14816.2
1505908;9531.67
1506005;14851.29
1506104;29545.97
1506112;8763.36
1506138;29567.91
1506161;33055.36
1506187;13787.05
1506195;9468.44
1506203;15593.74
1506302;8624.59
1506351;11027.66
1506401;9150.41
1506500;12835.31
1506559;9888.0
1506583;48203.76
1506609;14790.55
1506708;18185.03
1506807;20725.66
1506906;8838.35
1507003;14702.56
1507102;10061.58
1507151;13837.78
1507201;13579.38
1507300;14802.13
1507409;16546.12
1507458;28929.59
1507466;9120.92
1507474;7771.66
1507508;13249.93
1507607;13160.19
1507706;8974.71
1507755;23189.27
1507805;21785.17
1507904;9389.68
1507953;11579.35
1507961;6937.27
1507979;27253.9
1508001;16107.91
1508035;9044.03
1508050;16931.49
1508084;24210.5
1508100;48149.75
1508126;32043.86
1508159;17062.01
1508209;8724.37
1508308;9961.97
1508357;274351.7
1508407;35340.41
1600055;16524.09
1600105;17220.0
1600154;25720.52
1600204;16052.88
1600212;15220.38
1600238;70958.35
1600253;15338.73
1600279;21693.0
1600303;24768.62
1600402;16812.11
1600501;18536.44
1600535;16311.17
1600550;15752.05
1600600;20132.66
1600709;14378.77
1600808;14296.72
1700251;42979.98
1700301;23475.65
1700350;116268.4
1700400;39643.82
1700707;56569.78
1701002;16933.69
1701051;13892.42
1701101;52216.34
1701309;17255.24
1701903;33261.2
1702000;41464.68
1702109;28129.89
1702158;17393.75
1702208;14472.16
1702307;49244.74
1702406;21263.55
1702554;16169.5
1702703;15438.7
1702901;14372.21
1703008;14880.15
1703057;49202.29
1703073;24237.11
1703107;21523.42
1703206;23132.25
1703305;27228.47
1703602;34054.21
1703701;49268.03
1703800;13881.93
1703826;25532.91
1703842;95662.12
1703867;115073.33
1703883;26350.39
1703891;12139.52
1703909;70637.03
1704105;21765.64
1704600;28144.1
1705102;44736.71
1705508;23769.37
1705557;15713.45
1705607;16665.58
1706001;35759.76
1706100;24393.72
1706258;44965.53
1706506;38709.07
1707009;28401.58
1707108;35676.38
1707207;30133.74
1707306;43697.08
1707405;10525.18
1707553;23300.23
1707652;49167.4
1707702;14543.77
1708205;77025.73
1708254;89062.14
1708304;37675.68
1709005;17535.44
1709302;33344.81
1709500;29950.02
1709807;22879.08
1710508;24931.04
1710706;14240.76
1710904;44971.71
1711100;29013.31
1711506;25054.97
1711803;20420.86
1711902;71373.6
1711951;20006.44
1712009;20132.79
1712157;19087.53
1712405;17797.6
1712454;22243.61
1712504;47323.84
1712702;91006.23
1712801;16112.55
1713205;36419.5
1713304;28804.15
1713601;36212.17
1713700;32455.42
1713809;13961.56
1713957;19173.33
1714203;26722.15
1714302;15413.41
1714880;26661.49
1715002;23209.5
1715101;19038.97
1715150;15232.02
1715259;15416.09
1715507;26217.62
1715705;29731.96
1715754;22110.47
1716109;28820.73
1716208;30250.98
1716307;18663.11
1716505;60775.63
1716604;61181.18
1716653;19402.49
1716703;22628.82
1717008;19258.19
1717206;29605.14
1717503;46221.52
1717800;14426.13
1717909;14791.31
1718006;14700.83
1718204;68063.36
1718303;10876.87
1718402;17765.89
1718451;30103.17
1718501;20842.97
1718550;14511.21
1718659;13180.67
1718709;29846.56
1718758;17150.42
1718808;29914.52
1718840;34629.51
1718865;22913.12
1718881;39477.03
1718899;74895.13
1718907;63257.61
1719004;16427.06
1720002;16573.51
1720101;13485.35
1720150;22696.11
1720200;20555.57
1720259;15926.43
1720309;12618.29
1720499;40731.32
1720655;44080.81
