NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ESCOLA;TP_ENSINO;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
210056784158;2022;3;M;1;3;1;2;1.0;2.0;1.0;1.0;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;E;E;C;B;8;B;A;B;D;A;D;B;B;B;A;A;A;A;C;A;A;E;A;A;B
210057686129;2022;4;M;1;3;1;2;2.0;2.0;1.0;1.0;1302603;Manaus;13;AM;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;C;C;A;A;7;A;C;C;E;A;A;C;A;B;A;A;A;A;C;A;B;E;A;A;B
210056767126;2022;4;F;1;3;1;2;1.0;2.0;1.0;1.0;1301902;Itacoatiara;13;AM;1;1;1;1;1086.0;1055.0;1065.0;1076.0;430.6;497.3;499.1;462.0;EBEDDBDADEDABDCEACBDCCEBABCDEECAAABCDBCBEABCD;BEACCEDBDDADDAADBBABACEAAADACEDDADBECEDDCCDDA;DDCBDDCEADEADDDDEECBAECEBCBDAACCEDACADDDBAEDE;DDECECBEECBABDBCAEBCECEBBADDBDBEACCBADADCBEBA;1;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;1.0;100.0;160.0;120.0;120.0;160.0;660.0;C;C;A;A;4;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
210054870860;2022;2;F;1;3;1;2;1.0;2.0;1.0;1.0;1301902;Itacoatiara;13;AM;1;1;1;1;1088.0;1058.0;1067.0;1077.0;444.2;469.3;514.6;434.9;AEBBCAEBEDABCACCCCACDDEBBCEABBCBDCCBBCAEABEBD;DEBCEDCCBEEDECBDDBADABAAEAECDDBABEBDABDCBDDEC;CBBEDCEECAEDBAAAEAAAEACAEEEEBDECDACBAAECDACEC;CCBDBEDAABBCCEECACBBEDCECCAEBCCABCDCCBBCDBDCD;0;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;1.0;120.0;120.0;100.0;140.0;60.0;540.0;E;E;B;B;5;C;A;C;D;A;B;B;B;B;A;B;A;A;E;A;A;D;A;A;B
210054571282;2022;2;F;1;3;1;2;1.0;2.0;1.0;1.0;1301902;Itacoatiara;13;AM;1;1;1;1;1087.0;1056.0;1066.0;1078.0;384.7;483.5;395.9;390.9;DDDACCABDADCBBCADDBEDDDDACEECDBDBAADDEDBCECCD;DDDABDBEACEAADADEECBBAACCEBAAEBAADBACAEAEAEEA;ADEEAADDBDDACBCEEDACEACCDCDCCACEBCDECEAADEAAC;AECCEEABABDBEDCCCACBBCDADDAEEACBABDDCCDDABEED;1;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;1.0;120.0;120.0;120.0;100.0;60.0;520.0;H;E;A;A;4;B;A;C;C;A;B;B;A;B;A;A;A;A;B;B;B;B;A;A;B
210057204207;2022;3;M;1;3;1;2;1.0;2.0;1.0;1.0;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;H;E;F;D;6;B;A;C;D;A;C;B;C;B;B;B;A;A;C;A;A;D;B;A;B
210054970561;2022;2;F;1;3;1;2;1.0;2.0;1.0;1.0;1301902;Itacoatiara;13;AM;0;1;1;0;;1058.0;1067.0;;;474.5;388.5;;;CBECAEEBAEAECEBEEDACEACCAEDAECDEEDDAEAEABBCDD;CDAADAAEDDEDAAAAAAAACBCEAADADEEECDCEABCECEBAA;;1;;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;;1.0;100.0;100.0;120.0;120.0;120.0;560.0;D;D;A;A;4;B;A;B;C;A;A;B;B;B;A;A;A;A;B;B;A;B;A;A;A
210054887479;2022;3;F;1;3;1;2;1.0;3.0;2.0;2.0;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;C;E;C;B;4;B;A;C;C;A;B;B;A;B;A;A;A;A;B;B;A;C;A;A;A
210054835547;2022;3;M;1;3;1;2;1.0;2.0;2.0;1.0;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;C;C;A;A;3;C;A;B;C;A;A;B;B;B;A;B;A;A;B;B;A;D;A;B;B
210056774518;2022;2;F;1;3;1;2;1.0;2.0;1.0;1.0;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;E;E;F;B;6;B;A;B;D;A;A;B;A;B;A;A;A;A;B;A;A;B;A;A;B
210057191092;2022;9;F;1;3;2;2;;2.0;1.0;1.0;1301902;Itacoatiara;13;AM;1;1;1;1;1088.0;1058.0;1067.0;1077.0;400.1;468.3;501.7;395.0;DDECCCEEEBEBCDEDCAEABEBDADBEBEACADDCABBCABCAB;EDDBEA..DCCBABEDCCABEADCBBAAABEACDBCDBACB**BB;CCDDEEBDAECEEDDBADAEEBADCCAABCEADACBBBDCDCCCB;EACBDACEAADCBDEAECDADADEABCCBDAACEACDADBBDAEE;0;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;1.0;80.0;120.0;100.0;100.0;60.0;460.0;B;B;A;A;7;B;B;C;D;A;B;B;A;A;A;A;A;A;B;A;A;B;A;A;B
